system:index,B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,SAVI,date,lat,lon,.geo,temperature,humidity,precipitation,lat_r,lon_r,ndvi_trend,ndwi_trend,stress_score,label
20230120T050121_20230120T050119_T44RRN_2_45_0,2751,2058,1809,1926,1864,2956,4.760244115082824,0.22655602,-0.2109791,0.3397987760605746,2023-01-20,24.495983794393656,84.52630158517199,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52630158517199,24.495983794393656]}",11.61,66.94,0.33,24.496,84.526,-0.07272638000000001,0.07285822,4,Severely Stressed
20230120T050121_20230120T050119_T45RTH_2_45_0,2761,2044,1812,1927,1842,3002,6.236559139784946,0.23947151,-0.21809697,0.3591701930023738,2023-01-20,24.495981772723027,84.52635387703498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52635387703498,24.495981772723027]}",11.61,66.94,0.33,24.496,84.526,-0.06869428999999999,0.07311403,4,Severely Stressed
20230125T050059_20230125T051013_T44RRN_2_45_0,2895,2165,1245,1389,1451,2692,1.5049721076885765,0.29954138,-0.3192845,0.4492578737782068,2023-01-25,24.495983794393656,84.52630158517199,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52630158517199,24.495983794393656]}",11.83,38.67,0.03,24.496,84.526,0.07298536000000003,-0.10830540000000002,4,Severely Stressed
20230125T050059_20230125T051013_T45RTH_2_45_0,2903,2160,1221,1385,1408,2766,1.6500607533414338,0.3253474,-0.33269092,0.4879626302551204,2023-01-25,24.495981772723027,84.52635387703498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52635387703498,24.495981772723027]}",11.83,38.67,0.03,24.496,84.526,0.08587589000000001,-0.11459395,4,Severely Stressed
20230127T045051_20230127T045956_T44RRN_2_45_0,3142,2357,2064,2124,2046,3080,-21.016260162601625,0.20171674,-0.18370484,0.3025455964108066,2023-01-27,24.495983794393656,84.52630158517199,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52630158517199,24.495983794393656]}",11.43,34.53,0.0,24.496,84.526,-0.09782464000000002,0.13557966000000002,5,Severely Stressed
20230127T045051_20230127T045956_T45RTH_2_45_0,3157,2357,2106,2148,2042,3148,-7.017766497461929,0.21310212,-0.18882175,0.3196223870532704,2023-01-27,24.495981772723027,84.52635387703498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52635387703498,24.495981772723027]}",11.43,34.53,0.0,24.496,84.526,-0.11224528,0.14386917,5,Severely Stressed
20230130T050041_20230130T051047_T44RRN_2_45_0,2837,2177,1308,1447,1593,2672,1.114209004543577,0.25298944,-0.2974023,0.379439690540382,2023-01-30,24.495983794393656,84.52630158517199,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52630158517199,24.495983794393656]}",14.84,77.44,0.46,24.496,84.526,0.051272700000000004,-0.11369746,4,Severely Stressed
20230130T050041_20230130T051047_T45RTH_2_45_0,2850,2167,1272,1461,1574,2660,1.0584795321637428,0.25649503,-0.2909488,0.3846971307120085,2023-01-30,24.495981772723027,84.52635387703498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52635387703498,24.495981772723027]}",14.84,77.44,0.46,24.496,84.526,0.04339291000000001,-0.10212705,4,Severely Stressed
20230204T050009_20230204T050137_T44RRN_2_45_0,3077,2361,1271,1493,1561,2810,1.1807525051994707,0.28574696,-0.30606553,0.4285714285714285,2023-02-04,24.495983794393656,84.52630158517199,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52630158517199,24.495983794393656]}",17.45,44.01,0.0,24.496,84.526,0.032757519999999984,-0.008663229999999966,4,Severely Stressed
20230204T050009_20230204T050137_T45RTH_2_45_0,3094,2328,1235,1422,1451,2826,1.5139837040299495,0.321487,-0.33050847,0.4821741671537112,2023-02-04,24.495981772723027,84.52635387703498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52635387703498,24.495981772723027]}",17.45,44.01,0.0,24.496,84.526,0.06499197000000001,-0.03955966999999999,4,Severely Stressed
20230206T045001_20230206T045636_T44RRN_2_45_0,3356,2526,1360,1536,1634,2982,1.3026671820641669,0.29202774,-0.32005313,0.4379941514134085,2023-02-06,24.495983794393656,84.52630158517199,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52630158517199,24.495983794393656]}",18.8,35.46,0.0,24.496,84.526,0.006280779999999986,-0.013987600000000044,4,Severely Stressed
20230206T045001_20230206T045636_T45RTH_2_45_0,3368,2526,1335,1529,1615,2998,1.2917989912198766,0.2998049,-0.32449746,0.4496586105993281,2023-02-06,24.495981772723027,84.52635387703498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52635387703498,24.495981772723027]}",18.8,35.46,0.0,24.496,84.526,-0.021682100000000037,0.006011009999999983,4,Severely Stressed
20230209T045941_20230209T050547_T44RRN_2_45_0,3131,2371,1328,1561,1637,2748,1.063768671007277,0.25336373,-0.27546996,0.3800022802417057,2023-02-09,24.495983794393656,84.52630158517199,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52630158517199,24.495983794393656]}",17.71,28.9,0.0,24.496,84.526,-0.046441169999999976,0.0490275,4,Severely Stressed
20230209T045941_20230209T050547_T45RTH_2_45_0,3075,2335,1302,1498,1604,2664,1.0499207606973058,0.24835989,-0.28015378,0.3724961930420522,2023-02-09,24.495981772723027,84.52635387703498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52635387703498,24.495981772723027]}",17.71,28.9,0.0,24.496,84.526,-0.04366784999999998,0.03989935,4,Severely Stressed
20230211T044929_20230211T050134_T44RRN_2_45_0,3463,2725,1480,1602,1714,2920,1.4323040380047505,0.26025033,-0.29146394,0.3903333692955011,2023-02-11,24.495983794393656,84.52630158517199,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52630158517199,24.495983794393656]}",16.12,28.47,0.0,24.496,84.526,0.011890439999999974,-0.011310159999999958,4,Severely Stressed
20230211T044929_20230211T050134_T45RTH_2_45_0,3440,2682,1452,1618,1678,3004,1.5185524507558408,0.2832123,-0.2998702,0.4247730912973839,2023-02-11,24.495981772723027,84.52635387703498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52635387703498,24.495981772723027]}",16.12,28.47,0.0,24.496,84.526,0.029848569999999963,-0.024400239999999962,4,Severely Stressed
