system:index,B11,B12,B2,B3,B4,B8,NDVI,NDWI,date,lat,lon,.geo
20230102T054231_20230102T054230_T43RDP_4_0,2529,1942,1483,1834,1704,3486,0.34335262,-0.3105263,2023-01-02,30.133414249723614,74.43204472102887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.43204472102887,30.133414249723614]}"
20230102T054231_20230102T054230_T43RDP_12_0,2479,1740,1744,1937,1696,4565,0.4582335,-0.40418333,2023-01-02,30.20633041101837,74.87880214562907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.87880214562907,30.20633041101837]}"
20230102T054231_20230102T054230_T43RDP_14_0,2704,2187,1338,1679,1621,2962,0.2926031,-0.27644905,2023-01-02,30.000514756929327,74.18055005741631,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.18055005741631,30.000514756929327]}"
20230102T054231_20230102T054230_T43RDP_17_0,2275,1527,1342,1620,1279,5471,0.62103707,-0.5430828,2023-01-02,30.435064093888105,74.65878495489407,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.65878495489407,30.435064093888105]}"
20230102T054231_20230102T054230_T43RDP_45_0,2146,1549,1251,1472,1242,3813,0.50860536,-0.44295174,2023-01-02,30.30469517702339,74.30220486971412,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.30220486971412,30.30469517702339]}"
20230112T054211_20230112T054554_T43RFQ_27_0,1908,1474,1508,1697,1499,3408,0.38903606,-0.3351616,2023-01-12,31.20556457734315,76.43005937775438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.43005937775438,31.20556457734315]}"
20230112T054211_20230112T054554_T43RFQ_30_0,2685,1949,1764,2032,1762,3736,0.35903966,-0.29542303,2023-01-12,30.906918789572572,76.27712323447857,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.27712323447857,30.906918789572572]}"
20230112T054211_20230112T054554_T43RFQ_35_0,2378,1673,1570,1812,1538,4196,0.46355075,-0.39680427,2023-01-12,30.773604240129966,76.53198145303423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.53198145303423,30.773604240129966]}"
20230112T054211_20230112T054554_T43RFQ_44_0,2758,2408,1566,1888,1947,2992,0.21158129,-0.2262295,2023-01-12,31.037644558553804,76.49596073570072,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.49596073570072,31.037644558553804]}"
20230117T054149_20230117T054149_T43RDP_4_0,2387,1850,1563,1771,1614,3757,0.3989946,-0.35926193,2023-01-17,30.133414249723614,74.43204472102887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.43204472102887,30.133414249723614]}"
20230117T054149_20230117T054149_T43RDP_7_0,2287,1687,1492,1758,1539,4252,0.4684856,-0.41497505,2023-01-17,30.470432435669107,75.01109495890387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.01109495890387,30.470432435669107]}"
