system:index,B11,B12,B2,B3,B4,B8,NDVI,NDWI,date,lat,lon,.geo
20230102T054231_20230102T054230_T43RDP_1_4_0,2529,1942,1483,1834,1704,3486,0.34335262,-0.3105263,2023-01-02,30.133414249723614,74.43204472102887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.43204472102887,30.133414249723614]}"
20230102T054231_20230102T054230_T43RDP_1_7_0,5364,4505,4720,4880,4972,5776,0.07480461,-0.084084086,2023-01-02,30.470432435669107,75.01109495890387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.01109495890387,30.470432435669107]}"
20230102T054231_20230102T054230_T43RDP_1_10_0,5397,4644,5048,5228,5216,7232,0.16195373,-0.16083467,2023-01-02,30.40355814698842,74.95768052503085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.95768052503085,30.40355814698842]}"
20230102T054231_20230102T054230_T43RDP_1_12_0,2479,1740,1744,1937,1696,4565,0.4582335,-0.40418333,2023-01-02,30.20633041101837,74.87880214562907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.87880214562907,30.20633041101837]}"
20230102T054231_20230102T054230_T43RDP_1_14_0,2704,2187,1338,1679,1621,2962,0.2926031,-0.27644905,2023-01-02,30.000514756929327,74.18055005741631,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.18055005741631,30.000514756929327]}"
20230102T054231_20230102T054230_T43RDP_1_17_0,2275,1527,1342,1620,1279,5471,0.62103707,-0.5430828,2023-01-02,30.435064093888105,74.65878495489407,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.65878495489407,30.435064093888105]}"
20230102T054231_20230102T054230_T43RDQ_1_22_0,3704,3003,3430,3470,3468,3956,0.06573276,-0.06544573,2023-01-02,30.98851090042315,74.55136245942504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.55136245942504,30.98851090042315]}"
20230102T054231_20230102T054230_T43RDQ_1_24_0,6508,5478,6304,6392,6664,7528,0.06087937,-0.0816092,2023-01-02,31.11546065864115,74.80110315150363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.80110315150363,31.11546065864115]}"
20230109T044139_20230109T044620_T45RXK_2_42_0,2887,2477,2032,2042,1955,2881,0.19148056,-0.17042454,2023-01-09,26.35347083182029,88.18795597236347,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.18795597236347,26.35347083182029]}"
20230112T045139_20230112T045702_T45RVH_2_18_0,4035,3212,2814,2984,2926,4416,0.20294198,-0.19351351,2023-01-12,25.045662488345815,86.82745542085473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.82745542085473,25.045662488345815]}"
20230112T045139_20230112T045702_T45RVH_2_21_0,6892,6275,6628,6668,6780,7488,0.04962153,-0.05792597,2023-01-12,25.115300099257308,87.0191935082139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.0191935082139,25.115300099257308]}"
20230112T045139_20230112T045702_T45RVH_2_34_0,5871,5290,5316,5412,5632,6220,0.04961188,-0.06946355,2023-01-12,25.05959631089119,86.60485417027094,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60485417027094,25.05959631089119]}"
20230112T045139_20230112T045702_T45RVH_2_49_0,6655,5859,7268,7136,7024,7768,0.050297458,-0.042404722,2023-01-12,25.308008774376134,86.16604545464368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.16604545464368,25.308008774376134]}"
20230112T054211_20230112T054554_T43RFQ_1_27_0,1908,1474,1508,1697,1499,3408,0.38903606,-0.3351616,2023-01-12,31.20556457734315,76.43005937775438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.43005937775438,31.20556457734315]}"
20230112T054211_20230112T054554_T43RFQ_1_30_0,2685,1949,1764,2032,1762,3736,0.35903966,-0.29542303,2023-01-12,30.906918789572572,76.27712323447857,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.27712323447857,30.906918789572572]}"
20230112T054211_20230112T054554_T43RFQ_1_35_0,2378,1673,1570,1812,1538,4196,0.46355075,-0.39680427,2023-01-12,30.773604240129966,76.53198145303423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.53198145303423,30.773604240129966]}"
20230112T054211_20230112T054554_T43RFQ_1_39_0,3431,2898,3540,3548,3348,4428,0.1388889,-0.11033099,2023-01-12,30.703045818213656,76.10631946881482,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.10631946881482,30.703045818213656]}"
20230114T044141_20230114T045036_T45RWJ_2_3_0,4000,3417,2192,2432,2450,3626,0.19354838,-0.19709475,2023-01-14,26.205176723839898,87.64226357976696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.64226357976696,26.205176723839898]}"
20230114T044141_20230114T045036_T45RWK_2_3_0,3997,3417,2208,2438,2456,3610,0.19024068,-0.19378307,2023-01-14,26.205176723839898,87.64226357976696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.64226357976696,26.205176723839898]}"
20230114T044141_20230114T045036_T45RXK_2_42_0,3058,2512,1944,2080,1999,2960,0.19378906,-0.17460318,2023-01-14,26.35347083182029,88.18795597236347,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.18795597236347,26.35347083182029]}"
20230115T050139_20230115T050139_T44RQN_2_4_0,2977,2522,1378,1630,1652,2524,0.20881227,-0.21521425,2023-01-15,25.073618564209035,83.80439777327292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.80439777327292,25.073618564209035]}"
