system:index,B11,B12,B2,B3,B4,B8,EVI,NDVI,NDWI,SAVI,date,lat,lon,.geo
20230102T054231_20230102T054230_T43RDP_1_4_0,2529,1942,1483,1834,1704,3486,1.7210739810701179,0.34335262,-0.3105263,0.5149792890858299,2023-01-02,30.133414249723614,74.43204472102887,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.43204472102887,30.133414249723614]}"
20230102T054231_20230102T054230_T43RDP_1_7_0,5364,4505,4720,4880,4972,5776,9.617224880382775,0.07480461,-0.084084086,0.11220170256314835,2023-01-02,30.470432435669107,75.01109495890387,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.01109495890387,30.470432435669107]}"
20230102T054231_20230102T054230_T43RDP_1_10_0,5397,4644,5048,5228,5216,7232,7.533632286995515,0.16195373,-0.16083467,0.24292083383540186,2023-01-02,30.40355814698842,74.95768052503085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.95768052503085,30.40355814698842]}"
20230102T054231_20230102T054230_T43RDP_1_12_0,2479,1740,1744,1937,1696,4565,4.315583634175692,0.4582335,-0.40418333,0.6872953765072267,2023-01-02,30.20633041101837,74.87880214562907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.87880214562907,30.20633041101837]}"
20230102T054231_20230102T054230_T43RDP_1_14_0,2704,2187,1338,1679,1621,2962,1.263187641296157,0.2926031,-0.27644905,0.4388567688447693,2023-01-02,30.000514756929327,74.18055005741631,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.18055005741631,30.000514756929327]}"
20230102T054231_20230102T054230_T43RDP_1_17_0,2275,1527,1342,1620,1279,5471,3.4014930217461865,0.62103707,-0.5430828,0.9314865565513666,2023-01-02,30.435064093888105,74.65878495489407,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.65878495489407,30.435064093888105]}"
20230102T054231_20230102T054230_T43RDQ_1_22_0,3704,3003,3430,3470,3468,3956,-1.2708333333333333,0.06573276,-0.06544573,0.09859249781130042,2023-01-02,30.98851090042315,74.55136245942504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.55136245942504,30.98851090042315]}"
20230102T054231_20230102T054230_T43RDQ_1_24_0,6508,5478,6304,6392,6664,7528,9.27038626609442,0.06087937,-0.0816092,0.0913158358287828,2023-01-02,31.11546065864115,74.80110315150363,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.80110315150363,31.11546065864115]}"
20230109T044139_20230109T044620_T45RXK_2_42_0,2887,2477,2032,2042,1955,2881,-3.6863057324840764,0.19148056,-0.17042454,0.2871911506254523,2023-01-09,26.35347083182029,88.18795597236347,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.18795597236347,26.35347083182029]}"
20230112T045139_20230112T045702_T45RVH_2_18_0,4035,3212,2814,2984,2926,4416,4.291474654377881,0.20294198,-0.19351351,0.30439223697650664,2023-01-12,25.045662488345815,86.82745542085473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.82745542085473,25.045662488345815]}"
20230112T045139_20230112T045702_T45RVH_2_21_0,6892,6275,6628,6668,6780,7488,-1.1486048020765736,0.04962153,-0.05792597,0.07442968777376739,2023-01-12,25.115300099257308,87.0191935082139,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.0191935082139,25.115300099257308]}"
20230112T045139_20230112T045702_T45RVH_2_34_0,5871,5290,5316,5412,5632,6220,10.27972027972028,0.04961188,-0.06946355,0.07441468044716305,2023-01-12,25.05959631089119,86.60485417027094,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.60485417027094,25.05959631089119]}"
20230112T045139_20230112T045702_T45RVH_2_49_0,6655,5859,7268,7136,7024,7768,-0.40461170328475093,0.050297458,-0.042404722,0.07544363697819842,2023-01-12,25.308008774376134,86.16604545464368,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.16604545464368,25.308008774376134]}"
20230112T054211_20230112T054554_T43RFQ_1_27_0,1908,1474,1508,1697,1499,3408,4.366422689844464,0.38903606,-0.3351616,0.5834946510443199,2023-01-12,31.20556457734315,76.43005937775438,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.43005937775438,31.20556457734315]}"
20230112T054211_20230112T054554_T43RFQ_1_30_0,2685,1949,1764,2032,1762,3736,4.573679332715478,0.35903966,-0.29542303,0.5385105028644176,2023-01-12,30.906918789572572,76.27712323447857,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.27712323447857,30.906918789572572]}"
20230112T054211_20230112T054554_T43RFQ_1_35_0,2378,1673,1570,1812,1538,4196,4.027272727272727,0.46355075,-0.39680427,0.6952654982997646,2023-01-12,30.773604240129966,76.53198145303423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.53198145303423,30.773604240129966]}"
20230112T054211_20230112T054554_T43RFQ_1_39_0,3431,2898,3540,3548,3348,4428,-1.3280865715691097,0.1388889,-0.11033099,0.20831993827557385,2023-01-12,30.703045818213656,76.10631946881482,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.10631946881482,30.703045818213656]}"
20230114T044141_20230114T045036_T45RWJ_2_3_0,4000,3417,2192,2432,2450,3626,1.5580286168521462,0.19354838,-0.19709475,0.29029869168106637,2023-01-14,26.205176723839898,87.64226357976696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.64226357976696,26.205176723839898]}"
20230114T044141_20230114T045036_T45RWK_2_3_0,3997,3417,2208,2438,2456,3610,1.6144376049244544,0.19024068,-0.19378307,0.2853375092722327,2023-01-14,26.205176723839898,87.64226357976696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[87.64226357976696,26.205176723839898]}"
20230114T044141_20230114T045036_T45RXK_2_42_0,3058,2512,1944,2080,1999,2960,6.406666666666667,0.19378906,-0.17460318,0.29065429982861174,2023-01-14,26.35347083182029,88.18795597236347,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.18795597236347,26.35347083182029]}"
20230115T050139_20230115T050139_T44RQN_2_4_0,2977,2522,1378,1630,1652,2524,1.0371075166508086,0.20881227,-0.21521425,0.3131808930923022,2023-01-15,25.073618564209035,83.80439777327292,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.80439777327292,25.073618564209035]}"
20230115T050139_20230115T050139_T44RQN_2_13_0,3290,2545,2782,2886,2710,4016,-5.552721088435374,0.19417188,-0.16372067,0.29123615550434845,2023-01-15,25.22107078562445,83.486930576345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.486930576345,25.22107078562445]}"
20230115T050139_20230115T050139_T44RQN_2_14_0,4081,3460,1502,1857,2266,3378,0.4868651488616462,0.19702339,-0.29054442,0.29550890247143236,2023-01-15,24.574161676413254,83.63250147234471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.63250147234471,24.574161676413254]}"
20230115T050139_20230115T050139_T44RQN_2_22_0,3770,2511,1574,1896,2022,4440,1.267827181208054,0.37418756,-0.40151516,0.5612379110251451,2023-01-15,24.66447999279747,83.91239208469253,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.91239208469253,24.66447999279747]}"
20230117T045131_20230117T045127_T44RRN_2_2_0,3266,2710,1894,2136,2184,3176,1.1946050096339114,0.18507463,-0.19578314,0.27758604607779125,2023-01-17,25.110392004683597,84.74849862252218,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74849862252218,25.110392004683597]}"
20230117T045131_20230117T045127_T44RRN_2_15_0,3793,3186,1715,2026,2182,3798,1.0028546605436266,0.2702341,-0.30425823,0.4053172811637823,2023-01-17,24.78773142793995,85.03161554260646,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.03161554260646,24.78773142793995]}"
20230117T045131_20230117T045127_T44RRN_2_19_0,3322,2363,1525,1893,1657,4548,2.366955952186016,0.46591458,-0.41220307,0.6988155668358714,2023-01-17,25.042613892193966,84.63446371941521,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.63446371941521,25.042613892193966]}"
20230117T045131_20230117T045127_T44RRN_2_30_0,3672,2899,1696,1940,2070,3226,0.9873590707208746,0.21827795,-0.24893534,0.32738600962900033,2023-01-17,24.929606131476618,84.63796351056507,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.63796351056507,24.929606131476618]}"
20230117T045131_20230117T045127_T44RRN_2_43_0,3334,2704,1680,1966,2074,3258,0.9539155655816951,0.22205551,-0.24732006,0.33305203938115335,2023-01-17,24.82698288339234,84.90503285047747,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.90503285047747,24.82698288339234]}"
20230117T045131_20230117T045127_T44RRN_2_45_0,2904,2151,1623,1717,1660,3078,4.091171379111367,0.2992824,-0.28383732,0.4488762266540044,2023-01-17,24.495983794393656,84.52630158517199,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52630158517199,24.495983794393656]}"
20230117T045131_20230117T045127_T44RRN_2_48_0,3240,2420,1710,1952,1894,3924,2.059659090909091,0.34891716,-0.33560246,0.5233307553493168,2023-01-17,24.976795211066857,84.62985290020244,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.62985290020244,24.976795211066857]}"
20230117T045131_20230117T045127_T44RRP_2_10_0,3009,2572,2176,2282,2236,2920,100.58823529411765,0.13266097,-0.12264514,0.1989721710462523,2023-01-17,25.89964766774224,85.00849408045715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.00849408045715,25.89964766774224]}"
20230117T045131_20230117T045127_T45RTH_2_2_0,3324,2849,1908,2114,2138,3204,1.546720835751596,0.19955073,-0.20496427,0.299298081422555,2023-01-17,25.110392977465306,84.74857373563094,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74857373563094,25.110392977465306]}"
20230117T045131_20230117T045127_T45RTH_2_15_0,3773,3256,1750,2042,2178,3822,1.091343600637281,0.274,-0.30354705,0.41096575285392883,2023-01-17,24.78770995034834,85.03161154138597,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.03161154138597,24.78770995034834]}"
20230117T045131_20230117T045127_T45RTH_2_19_0,3358,2380,1546,1900,1662,4540,2.465729952021933,0.46404386,-0.4099379,0.6960096735187424,2023-01-17,25.042635625377436,84.63448305540332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.63448305540332,25.042635625377436]}"
20230117T045131_20230117T045127_T45RTH_2_30_0,3704,2959,1722,1962,2100,3244,0.9761092150170648,0.21407185,-0.24625432,0.32107774347460005,2023-01-17,24.929593007845224,84.6379330931922,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.6379330931922,24.929593007845224]}"
20230117T045131_20230117T045127_T45RTH_2_43_0,3357,2740,1686,1954,2068,3212,0.961021505376344,0.21666667,-0.2435153,0.32496922639901527,2023-01-17,24.82697615906361,84.90506623201334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.90506623201334,24.82697615906361]}"
20230117T045131_20230117T045127_T45RTH_2_45_0,2928,2152,1628,1750,1686,3188,3.4292237442922375,0.3081658,-0.291211,0.462201251410401,2023-01-17,24.495981772723027,84.52635387703498,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.52635387703498,24.495981772723027]}"
20230117T045131_20230117T045127_T45RTH_2_48_0,3487,2638,1803,1996,1934,3912,2.479318124843319,0.338351,-0.324306,0.5074831095527238,2023-01-17,24.976852680933213,84.62990100252732,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.62990100252732,24.976852680933213]}"
20230117T045131_20230117T045127_T45RTJ_2_10_0,3095,2700,2212,2298,2240,2950,-8.919597989949748,0.13680154,-0.124237806,0.20518254503419708,2023-01-17,25.899644975167085,85.00853719003544,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.00853719003544,25.899644975167085]}"
20230117T045131_20230117T045127_T45RUH_2_15_0,3767,3249,1742,2032,2162,3812,1.1088709677419355,0.27619687,-0.3045859,0.41426060758222444,2023-01-17,24.78770995034834,85.03161154138597,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.03161154138597,24.78770995034834]}"
20230117T045131_20230117T045127_T45RUH_2_16_0,3024,2119,1579,1865,1706,4472,2.4123495552066982,0.4477177,-0.4113934,0.6715222141296431,2023-01-17,25.299303730950914,85.68922558546221,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.68922558546221,25.299303730950914]}"
20230117T045131_20230117T045127_T45RUH_2_24_0,2861,2142,1431,1788,1596,3360,2.000453617600363,0.3559322,-0.3053613,0.5338444466861697,2023-01-17,25.004128654816142,85.82941266326443,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.82941266326443,25.004128654816142]}"
20230117T045131_20230117T045127_T45RUH_2_35_0,3420,2605,1564,1889,1864,3456,1.36722775678461,0.29924813,-0.2931712,0.4488299971807161,2023-01-17,24.89651322225655,85.32109719239186,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.32109719239186,24.89651322225655]}"
20230117T045131_20230117T045127_T45RUH_2_36_0,2759,1968,1534,1844,1594,4006,2.918683446272991,0.43071428,-0.36957264,0.646013748772431,2023-01-17,24.728382608659693,85.50753287459847,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.50753287459847,24.728382608659693]}"
20230117T045131_20230117T045127_T45RUJ_2_7_0,2614,1914,2048,2176,1972,4108,9.19104991394148,0.3513158,-0.3074475,0.5269303511224406,2023-01-17,25.90929185415298,85.17925231149755,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.17925231149755,25.90929185415298]}"
20230117T045131_20230117T045127_T45RUJ_2_8_0,2722,1804,1696,1938,1602,5051,4.435442386831276,0.51841277,-0.44541422,0.7775606823476366,2023-01-17,25.9678651401917,85.71686242447636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.71686242447636,25.9678651401917]}"
20230117T045131_20230117T045127_T45RUJ_2_10_0,3127,2720,2208,2294,2238,2974,-11.719745222929935,0.14121258,-0.12908125,0.21179856115107915,2023-01-17,25.899644975167085,85.00853719003544,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.00853719003544,25.899644975167085]}"
20230117T045131_20230117T045127_T45RUJ_2_16_0,3035,2125,1559,1855,1698,4471,2.336141533277169,0.4495056,-0.41353145,0.6742037442256261,2023-01-17,25.299303730950914,85.68922558546221,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.68922558546221,25.299303730950914]}"
20230117T045131_20230117T045127_T45RUJ_2_26_0,2287,1754,1775,1958,1727,3436,8.782117163412128,0.3310091,-0.27400815,0.49646557567541394,2023-01-17,25.687781778645725,85.42932579438074,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.42932579438074,25.687781778645725]}"
20230117T045131_20230117T045127_T45RUJ_2_28_0,3443,2387,1797,2034,1800,4252,3.890828308473501,0.40515533,-0.3528476,0.6076827757125155,2023-01-17,25.93664004439994,85.7389690164764,"{""geodesic"":false,""type"":""Point"",""coordinates"":[85.7389690164764,25.93664004439994]}"
20230117T045131_20230117T045127_T45RUJ_2_38_0,3059,2260,1810,2114,1892,4124,2.9337539432176656,0.37101063,-0.32221866,0.556469708302169,2023-01-17,26.127647475224002,86.02547942897066,"{""geodesic"":false,""type"":""Point"",""coordinates"":[86.02547942897066,26.127647475224002]}"
